,Unnamed: 0,upright,inverted,group,age,gender,order,RTupright,RTinverted,experience,regulation,subjective,PI20,PI23,Prop,WorkLoc,subjectID,proflicID,time_elapse,num_lines,country_res,age2021,gender2021,up2021,inv2021,RTup2021,RTinv2021,change_upright,change_inverted
0,0,56,34,mask,20,female,inverted_first,2163.625,2319.441176,14,10,6,32,32,61,unemployed,jan2021_cfmt_mask_inverted_upright_PARTICIPANT_SESSION_2021-12-29_14h49.53.205.csv,5f30ee4c383a0d56521f69c7,15.85536667,288,"es([], ",19,"3    female
Name: gender, dtype: object",55,44,3255.836364,6031.818182,1,-10
1,1,41,35,mask,41,female,inverted_first,3427.463415,4099.171429,7,4,11,43,34,0,unemployed,jan2021_cfmt_mask_inverted_upright_PARTICIPANT_SESSION_2021-12-29_14h53.00.530.csv,596f003434773e0001fc0d28,22.50886667,288,"es([], ",40,"38    female
Name: gender, dtype: object",39,43,4791.128205,5692.255814,2,-8
2,2,45,32,mask,37,male,inverted_first,3049.133333,4488.125,19,10,10,37,26,88,Home,jan2021_cfmt_mask_inverted_upright_PARTICIPANT_SESSION_2021-12-29_19h49.15.808.csv,5d8a98c6f62b5600194549a8,20.7869,288,"es([], ",36,"66    male
Name: gender, dtype: object",57,27,3046.701754,3806.777778,-12,5
3,3,58,44,mask,25,female,inverted_first,2918.234483,3767.263636,11,10,5,57,50,84,Home,jan2021_cfmt_mask_inverted_upright_PARTICIPANT_SESSION_2021-12-29_19h54.42.336.csv,5ac56ef9fa3b4e0001737190,24.99231667,288,"es([], ",24,"5    female
Name: gender, dtype: object",53,42,2666.164057,4115.806429,5,2
4,4,47,39,mask,21,male,inverted_first,1856.710638,2439.612821,23,12,4,19,17,69,unemployed,jan2021_cfmt_mask_inverted_upright_PARTICIPANT_SESSION_2021-12-29_22h55.26.333.csv,5ecef464a52fd030f7bfb006,22.4959,288,"es([], ",21,"106    male
Name: gender, dtype: object",40,44,1747.925,2335.636364,7,-5
5,5,57,38,mask,22,male,inverted_first,3490.012281,4588.528947,8,9,4,29,24,73,unemployed,jan2021_cfmt_mask_inverted_upright_PARTICIPANT_SESSION_2021-12-29_22h56.37.225.csv,5f843bd660bf8a0406a09db2,30.5599,288,"es([], ",21,"104    male
Name: gender, dtype: object",50,40,2307.5912,3402.761,7,-2
6,6,60,37,mask,22,female,inverted_first,2125.413333,2851.17027,18,11,8,33,25,89,Home,jan2021_cfmt_mask_inverted_upright_PARTICIPANT_SESSION_2021-12-29_23h17.25.503.csv,5eb3cef4444b2f1be1ed2e00,16.91721667,288,"es([], ",21,"51    female
Name: gender, dtype: object",50,37,1942.2846,3441.387297,10,0
7,7,53,34,mask,51,female,inverted_first,3265.035849,4810.388235,18,10,5,36,31,20,unemployed,jan2021_cfmt_mask_inverted_upright_PARTICIPANT_SESSION_2021-12-29_23h23.12.516.csv,5bb0b9f3f1f9ba00013fc0bb,23.65558333,288,"es([], ",50,"49    female
Name: gender, dtype: object",42,26,3670.71131,4204.625385,11,8
8,8,27,23,mask,47,female,inverted_first,1743.333333,2363,23,12,6,44,35,100,Office,jan2021_cfmt_mask_inverted_upright_PARTICIPANT_SESSION_2021-12-29_23h52.55.503.csv,5dab49d0301492001858123d,16.4366,288,"es([], ",46,"30    female
Name: gender, dtype: object",32,24,2380.375,3427.083333,-5,-1
9,9,38,30,mask,21,male,inverted_first,2969.807895,3216.77,16,9,8,47,40,77,Home,jan2021_cfmt_mask_inverted_upright_PARTICIPANT_SESSION_2021-12-29_23h56.59.546.csv,5eccfbee54762d00083aea9b,23.46033333,288,"es([], ",20,"79    male
Name: gender, dtype: object",35,34,1980.256286,2219.860588,3,-4
