,no_mask,mask,no_mask_RT,mask_RT,gender,age, have a lot of experience in encountering people who wear masks,I spend a lot of time in public places where mask wearing is common,Mask wearing is strongly enforced in my country of residence,Most people follow mask mandates in my country,"I have difficulties recognizing familiar people (i.e., family members, colleagues, friends) when they are wearing masks","n people wear masks, I have difficulties in deciding whether they are familiar to me or not",Most people that I encounter everyday are wearing masks,"n my daily life, I need to recognize a lot of people who wear masks",maskExp,% of masked faces,maskeffect,maskeffectRatio,maskeffect_RT,maskeffectRatio_RT
0,46,35,2664.434783,3538.114286,33,1,6,6,6,6,5,5,6,6,24,90,11,0.135802469,873.6795031,0.140858136
1,36,23,4469.055556,1616.086957,44,0,6,6,6,6,4,4,6,3,21,92,13,0.220338983,-2852.968599,-0.468841706
2,57,46,3733.070175,4561.23913,26,1,6,6,6,5,2,4,6,2,20,33,11,0.106796117,828.168955,0.09984785
3,62,27,4056.935484,13588.59259,46,0,0,5,5,6,0,0,0,5,10,32,35,0.393258427,9531.657109,0.540174092
4,52,45,4824.211538,10354.11111,50,0,5,3,6,6,4,3,6,5,19,100,7,0.072164948,5529.899573,0.364328767
5,71,53,3142.394366,3701.566038,37,1,5,6,6,4,2,2,6,6,23,87,18,0.14516129,559.1716715,0.081702938
6,51,39,3196.372549,3299.953846,21,0,2,4,4,2,5,1,4,4,14,66,12,0.133333333,103.5812971,0.015944596
7,64,50,3967.420313,6096.456,18,0,4,5,2,1,1,2,3,4,16,80,14,0.122807018,2129.035687,0.211552251
8,44,46,3766.656818,3906.130435,21,0,3,1,5,5,2,2,1,0,5,89,-2,-0.022222222,139.4736166,0.018177699
9,31,39,2686.677419,6251.564103,43,0,4,5,4,5,4,2,6,6,21,88,-8,-0.114285714,3564.886683,0.39883535
10,63,54,3896.030159,3846.111111,19,0,6,4,2,3,1,2,5,0,15,77,9,0.076923077,-49.91904763,-0.006447706
11,62,52,4419.574194,4762.438462,24,0,6,5,5,5,1,2,4,1,16,71,10,0.087719298,342.864268,0.037340862
12,40,41,11877.4975,24172.60488,19,1,6,5,5,2,3,4,3,4,18,55,-1,-0.012345679,12295.10738,0.341056102
13,49,44,2751.04898,2954.670455,26,0,6,6,4,4,2,2,5,4,21,66,5,0.053763441,203.621475,0.035687257
14,37,36,2982.497297,4489.391667,33,0,1,5,5,6,6,5,5,3,14,89,1,0.01369863,1506.894369,0.201675156
15,58,49,2681.087931,3546.661224,39,0,5,5,2,5,1,1,5,4,19,89,9,0.08411215,865.5732935,0.138986538
16,65,54,2759.049231,3565.883333,21,0,6,6,6,5,2,3,5,6,23,83,11,0.092436975,806.8341026,0.127564064
17,43,42,3713.367442,4259.464286,27,0,4,5,6,5,1,3,5,5,19,89,1,0.011764706,546.0968439,0.068494716
18,51,38,2931.827451,3589.278947,19,1,3,6,6,5,6,6,6,4,19,77,13,0.146067416,657.4514964,0.100819011
19,68,48,2660.361765,3847.920833,21,1,2,5,4,6,2,4,6,2,15,89,20,0.172413793,1187.559069,0.182468885
20,60,52,2896.176667,4739.267308,24,0,5,4,4,5,1,0,4,1,14,78,8,0.071428571,1843.090641,0.241386178
21,60,58,5345.711667,5620.637931,19,1,3,4,1,1,2,4,4,1,12,44,2,0.016949153,274.9262644,0.025069989
22,40,48,5015.49,4915.841667,23,0,3,2,5,3,5,5,5,3,13,56,-8,-0.090909091,-99.64833333,-0.010033733
23,51,42,4256.521569,3606.404762,24,0,4,1,4,5,0,0,6,3,14,61,9,0.096774194,-650.1168067,-0.082681279
