,Same,Different,Same_RT,Different_RT,age,gender,q1,q2,q3,q4,q5,q6,q7,q8,q9,WorkLocation
0,18,12,3025.333333,3066.833333,24,female,3,6,5,5,1,1,5,5,83,Office
1,8,15,5338.933333,3484.375,21,male,6,4,1,3,2,5,4,1,64,Office
2,9,12,2291.5,2426.222222,28,male,6,5,2,1,3,4,5,3,62,Unemployed
3,12,17,1982.029412,2330.066667,19,female,4,6,6,5,1,2,6,5,90,Home
4,15,12,1744.583333,1778.313333,23,male,4,6,4,4,5,5,2,4,36,Office
5,13,14,2546.328571,1644.338462,28,male,5,5,2,2,2,4,4,2,61,Office
6,16,18,3082.855556,2981.21875,30,female,6,5,5,5,1,4,4,0,65,Home
7,17,18,3736.838889,4791.229412,55,female,4,2,5,4,2,2,4,3,83,Home
8,16,11,1732.536364,1508.2375,18,male,6,6,4,4,5,6,6,6,85,Office
9,16,19,4444.610526,2781.29375,22,male,4,0,2,0,6,6,5,2,67,Unemployed
10,16,16,4721.2375,4501.1,31,male,5,5,5,4,5,5,5,1,22,Home
11,20,10,4646.81,5339.565,29,male,6,6,6,4,2,2,6,6,88,Office
12,17,15,1699.766667,2051.794118,42,male,2,1,1,1,2,2,2,0,15,Unemployed
13,16,16,4120.0125,3781.3625,22,male,5,5,3,5,0,0,5,4,89,Unemployed
14,16,17,4164.617647,4718.79375,33,female,6,6,6,4,0,0,5,0,77,Home
15,12,11,2424.090909,3115.916667,46,male,5,6,5,5,1,1,5,6,79,Home
16,11,15,4395.266667,3725.181818,41,male,5,4,5,4,5,4,4,5,93,Office
17,16,13,2952.138462,2371.89375,23,female,5,4,5,5,3,4,5,1,69,Home
18,20,18,5019.233333,3353.31,35,male,4,3,4,3,2,4,5,5,74,Office
19,14,16,1923.38125,1996.3,20,female,5,5,4,2,2,4,4,5,33,Unemployed
20,12,16,4832.65,5338.983333,24,female,6,4,4,2,1,1,4,1,67,Unemployed
21,16,19,7874.952632,9306.8375,22,female,4,4,3,1,4,4,5,1,77,Unemployed
22,15,15,9995.8,10257.73333,22,female,0,2,3,2,0,1,1,5,78,Office
23,15,19,8083.921053,7904.646667,20,female,3,4,4,4,3,4,0,2,0,Office
24,17,17,2980.494118,2818.005882,22,male,5,1,6,4,1,2,5,4,77,Home
25,14,14,5642.328571,5814.021429,35,male,5,5,4,4,1,0,4,4,66,Home
26,10,11,3420.727273,2546.3,20,male,4,5,5,2,4,4,4,4,79,Home
27,14,15,2399.553333,2701.15,24,male,6,6,5,4,1,0,5,5,78,Office
28,18,15,2400.8,1730.711111,22,female,6,6,6,6,0,2,6,6,100,Home
29,15,17,3806.864706,3395.006667,18,female,6,5,6,3,2,2,5,4,94,Home
30,18,20,9039.105,2895.95,20,female,4,2,5,2,1,1,4,2,67,Home
31,14,17,5340.011765,6764.235714,24,female,3,6,5,4,3,4,4,4,78,Home
32,11,14,3398.292857,2713.790909,18,female,3,4,3,3,2,1,6,5,83,Office
33,18,16,4896.925,5805.061111,24,female,3,1,6,6,2,3,5,3,76,Unemployed
34,12,16,4085.58125,4162.658333,20,male,6,6,6,5,4,5,6,2,88,Office
35,19,16,11550.85625,10272.45789,22,male,6,4,5,5,0,0,5,4,89,Unemployed
36,14,14,2478.971429,3175.235714,21,female,3,5,4,2,1,4,4,4,66,Office
37,12,15,2955.393333,7419.033333,19,female,2,3,4,2,1,2,3,4,78,Home
38,13,18,3846.483333,4471.861538,22,male,1,1,5,4,4,4,5,2,88,Home
39,18,18,3779.05,3054.15,23,male,5,4,5,4,4,6,5,3,44,Unemployed
40,12,18,3782.277778,7715.358333,24,male,6,2,6,4,0,4,5,2,99,Home
41,4,19,2475.736842,5388.025,32,female,4,4,0,1,1,2,2,3,56,Home
42,13,12,3614.391667,3722.930769,21,female,5,6,6,3,1,2,6,6,78,Office
